ID_PRODUTO,ID_LANCAMENTO,INGREDIENTES,QNT_REAL
243,1,ARROZ ARBOREO,10.0
268,1,CEBOLA PERA,2.0
406,1,AZEITE DE OLIVA EXTRA VIRGEM (COZINHA),0.6
482,1,VINHO BRANCO COZINHA,1.5
3783,1,PRODUCAO 1KG - CALDO DE LEGUMES,3.0
375,2,SAL REFINADO,0.5
395,2,ARROZ BRANCO,1.0
406,2,AZEITE DE OLIVA EXTRA VIRGEM (COZINHA),0.9
6714,2,PRODUCAO 1KG - PASTA DE ALHO,1.0
